{0};{1};{2};{0,1};{1,2};{0,2};psi_2;tau_0;tau_1;psi’_2;rho_2;S_01;T'_2;T_2;T^mu2;quasi-Minority;quasi-Majority;f(x)=f(y);2-cyclic;3-cyclic;Sigma_1;Sigma_2;Minor-equivalence-class
0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;M_0
1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;M_0
1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;M_0
1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;M_0
1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;M_0
0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;M_1
1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;M_1
1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;M_1
0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;Z_2
0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;Z_2
