"{0}";"{1}";"{2}";"{0,1}";"{1,2}";"{0,2}";"psi_2";"tau_0";"tau_1";"psi’_2";"rho_2";"S_01";"T'_2";"T_2";T^mu2;Unary_polymorphisms;Cores'_Cardinality;Class_of_Pol(R)_if_not_core;quasi-Minority;quasi-Majority;f(x)=f(y);2-cyclic;3-cyclic;2-Symmetric-quasi-Majority;Zhuk-5-symmetric;Minor-equivalence-class
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;['001022', '001122', '021221', '011122', '011022', '021220'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;['001022', '001122', '021220'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;['001120', '001122', '001121', '011021', '011022', '011020'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;['001122', '001121', '001120', '011020', '011022', '011021'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;['001022', '001122', '021220'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;['001022', '001122', '021221', '021220', '011122', '011022'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;['001022', '001122', '011122', '011022'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;['001022', '001122', '011122', '011022'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;['001022', '001122', '011122', '011022'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;['001122', '011022'];3;3-core;1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;['001122', '011022'];3;3-core;1;1;0;0;1;1;1;C_2
0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;['001122', '011122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;['001122', '011122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;['001122', '011122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;['001022', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;['001122', '001121', '001120'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;['001120', '001122'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;['001120', '001122', '001121'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;['001122', '001120'];2;[d_3, m];1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;['011122', '011022', '001022', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;['001022', '001122', '011122', '011022'];2;[q, m];1;1;0;1;1;1;1;I_2
0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;['001022', '001122', '011122', '011022'];2;[q, m];1;1;0;1;1;1;1;I_2
0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;['011122', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;['001122', '011122'];2;[q, m];1;1;0;1;1;1;1;I_2
0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;['001122', '011122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;['001022', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;['001022', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;['001022', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;['001022', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;['001122', '001022'];2;[q, m];1;1;0;1;1;1;1;I_2
1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;['001122', '001022'];2;[q, m];1;1;0;1;1;1;1;I_2
1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;['001120', '001122'];2;[q, m];1;1;0;1;1;1;1;I_2
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;['001122', '001121', '001120'];2;[q, m];1;1;0;1;1;1;1;I_2
1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;['001122', '001120'];2;[q, m];1;1;0;1;1;1;1;I_2
1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;['001120', '001122', '001121'];2;[q, m];1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;['001122'];3;3-core;1;1;0;1;1;1;1;I_2
0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;['001122', '011022'];3;3-core;1;1;0;0;1;0;0;M_0
1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;0;0;M_0
1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;0;0;M_0
1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;0;0;M_0
1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;0;0;M_0
0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;['001122', '011022'];3;3-core;1;1;0;0;1;0;1;M_1
1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;['001122'];3;3-core;1;1;0;0;1;0;1;M_1
