Operazioni;0;1;2;01;12;02;psi2;tau1;tau2;psi’2;rho1;S01;T01;T1;T’1
d;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
f232;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
f223;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
f333;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
f332;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1
f1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1
f2;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
f3;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1
f4;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1
f5;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1
g3;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1
f6;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1
g4;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1
f7;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1
falf;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1
fbet;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1
fgam;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1
fdel;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0
feta;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1
ftet;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0
fS;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1
fkap;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1
