h1_con_name,h1_identities
NN44,"[['fzxyz', 'fxzyx'], ['fyyxx', 'fyxzx']]"
NN54,"[['fzxyx', 'fyxzx'], ['fzxzy', 'fzzxx']]"
TS3,"[['fxyz', 'fzxy', 'fyxz'], ['fxxy', 'fxyy']]"
KK7,"[['axyz', 'axxx'], ['axyy', 'bxyy'], ['axyx', 'bxyx'], ['bxxy', 'cxxy'], ['cxyy', 'dxyy'], ['cxyx', 'dxyx'], ['dxxy', 'exxy'], ['exyy', 'hxyy'], ['exyx', 'hxyx'], ['hxxy', 'ixxy'], ['ixyy', 'lxyy'], ['ixyx', 'lxyx'], ['lxyz', 'lzzz']]"
CycMaj,"[['txyz', 'tyzx'], ['txxy', 'txxx']]"
NN32,"[['fzxyx', 'fzzxy'], ['fzzyx', 'fxyzx']]"
NN50,"[['fxzxy', 'fzyxx', 'fzxyy'], ['fzyyz', 'fzzzz']]"
SymMaj,"[['txyz', 'tyxz', 'tyzx'], ['txxy', 'txxx']]"
NN61,"[['fxyzy', 'fyzxx'], ['gxzxx', 'gxzxy', 'gzxyz'], ['fxzxy', 'gzzxx']]"
Maj,"[['mxxx', 'mxxy', 'mxyx', 'myxx']]"
John1,"[['bxxy', 'bxxx'], ['bxyy', 'cxyy'], ['cxxy', 'dxxy'], ['bxyx', 'bxxx'], ['cxyx', 'cxxx'], ['dxyx', 'dxxx'], ['dxyy', 'dyyy']]"
NN26,"[['fzyxz', 'fyxyz', 'fxzxy'], ['gyxzy', 'gyyzx', 'gzzyx'], ['fxxzz', 'gxxxx']]"
John2,"[['bxxy', 'bxxx'], ['bxyy', 'cxyy'], ['cxxy', 'dxxy'], ['dxyy', 'exyy'], ['exxy', 'hxxy'], ['bxyx', 'bxxx'], ['cxyx', 'cxxx'], ['dxyx', 'dxxx'], ['exyx', 'exxx'], ['hxyx', 'hxxx'], ['hxyy', 'hyyy']]"
DJohn2,"[['bxxy', 'bxxx'], ['bxyy', 'cxxy'], ['bxyx', 'cxxx'], ['cxyx', 'cxxx'], ['cxyy', 'cyyy']]"
HM5,"[['axxx', 'ayyx'], ['axyy', 'bxxy'], ['bxyy', 'cxxy'], ['cxyy', 'dxxy'], ['dxyy', 'exxy'], ['exyy', 'exxx']]"
NN33,"[['fyzzx', 'fyxxz'], ['fyzyy', 'fxyxy']]"
S3,"[['fxyz', 'fzxy']]"
NN31,"[['fzxzz', 'fzzzz'], ['fzyyx', 'fxzxy']]"
NN22,"[['fyxyx', 'fxzzy']]"
HM3,"[['axxx', 'ayyx'], ['axyy', 'bxxy'], ['bxyy', 'cxxy'], ['cxyy', 'cxxx']]"
HM4,"[['axxx', 'ayyx'], ['axyy', 'bxxy'], ['bxyy', 'cxxy'], ['cxyy', 'dxxy'], ['dxyy', 'dxxx']]"
NN34,"[['fyzxz', 'fzyxy'], ['fyxyy', 'fyyxy', 'fzyyx']]"
