0,1,2,01,12,02,psi2,tau1,tau2,psi’2,rho1,S01,T01,T1,T’1,un_poly,Category,Class
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"['001120', '001122']",binary,"[q, m]"
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,['001122'],core,3-core
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,"['001120', '001122', '001121', '011121', '011122', '011120']",Top,Top
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"['001020', '001022', '001021', '001121', '001122', '001120']",Top,Top
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,"['001122', '021222']",Top,Top
1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,['001122'],core,3-core
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"['001122', '021222', '021221', '001121', '011122', '011121']",Top,Top
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120']",binary,"[q, m]"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['001022', '001122', '021221', '011122', '011022', '021220']",binary,"[d_3, m]"
1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,"['001022', '001122']",binary,[m]
1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,"['001120', '001122', '001121']",binary,[m]
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,['001122'],core,3-core
1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,"['001022', '001122']",binary,"[d_3, m]"
1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,"['001022', '001122']",binary,"[q, m]"
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,['001122'],core,3-core
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,"['001120', '001122', '001121', '011021', '011022', '011020']",binary,[m]
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,"['001120', '001122', '001121', '011021', '011022', '011020']",binary,[m]
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,"['001122', '021222']",Top,Top
0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,"['001122', '011121', '011120']",Top,Top
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"['001020', '001022', '001021', '001121', '001122', '001120']",Top,Top
1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"['001022', '001122']",binary,[m]
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"['001022', '001122', '021221', '021220', '011122', '011022']",binary,[m]
1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,['001122'],core,3-core
