0,1,2,01,12,02,psi2,tau1,tau2,psi’2,rho1,S01,T01,T1,T’1,Category
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,core
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,core
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,core
0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,core
1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,core
1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,core
1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,core
1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,core
1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,core
1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,core
0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,core
0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,core
1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,core
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,core
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,core
0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,core
1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,core
1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,core
1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,core
1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,core
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,core
1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,core
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,core
0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,core
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,core
0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,core
1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,core
0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,core
1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,core
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,core
1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,core
0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,core
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,core
1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,core
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,core
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,core
1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,core
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,core
1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,core
0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,core
0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,core
1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,core
1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,core
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,core
1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,core
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,core
1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,core
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,core
0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,core
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,core
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,core
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,core
1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,core
1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,core
1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,core
0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,core
1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,core
0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,core
1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,core
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,core
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,core
0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,core
0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,core
1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,core
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,core
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,core
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,core
1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,core
1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,core
0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,core
1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,core
0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,core
1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,core
0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,core
1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,core
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,core
